block_number,parcel_num,money,appraisal_date
6,50,4750,8/7/1968
46,17,5050,8/7/1968
11,31,3200,8/7/1968
3,2,37700,8/7/1968
71,5,3750,8/7/1968
4,21,8500,8/7/1968
30,10,10350,8/7/1968
55,52,1550,8/7/1968
40,24,760,8/7/1968
72,2,28000,8/7/1968
53,2,500,4/3/1975
57,2,3600,4/3/1975
38,16,8550,4/3/1975
14,2,27500,4/3/1975
29,18,4000,4/3/1975
53,1,16000,4/1/1976
53,6,11500,4/1/1976
5,10,4500,4/1/1976
49,18,3100,4/1/1976
50,2,10000,4/1/1976
34,10,1500,8/1/1968
40,14,10000,8/1/1968
48,17,3800,8/1/1968
48,18,1150,8/1/1968
34,3,10000,8/1/1968
11,5,350,8/1/1968
4,10,4500,8/1/1968
52,2,2000,8/1/1968
11,14,1500,8/1/1968
47,1,17300,8/1/1968
11,29,2000,8/1/1968
1,32,750,8/1/1968
56A,25,1000,8/1/1968
43,1,21550,8/1/1968
40,22,18100,8/1/1968
57,8,6500,8/1/1968
56,4,5000,8/1/1968
38,15,8750,8/1/1968
31,26,7800,8/1/1968
15,15,8300,8/1/1968
48,20,3000,8/1/1968
45,19,4000,8/1/1968
71,28,4500,8/1/1968
1,35,600,6/24/1968
45,6,4800,6/24/1968
47,11,11000,6/24/1968
55,32,8000,6/24/1968
17,32,4084,6/24/1968
1,27,4000,6/24/1968
16,19,4500,6/24/1968
55,13,7000,6/24/1968
59,10,7350,6/24/1968
49,4,2000,6/24/1968
30,29,1400,6/24/1968
1,13A,800,6/24/1968
76,4,5250,6/24/1968
53,7,11000,6/24/1968
39,15B,6600,6/24/1968
6,14A,6250,6/24/1968
71,30,800,6/24/1968
40,4,7500,6/24/1968
55,17,8800,6/24/1968
11,22,350,6/24/1968
57,4,8000,6/24/1968
56,18,5000,6/24/1968
60,8,240,6/24/1968
18,4,5750,6/24/1968
3,4,9200,6/24/1968
55,24,3800,5/25/1968
16,20,7300,5/25/1968
52,6,3500,5/25/1968
27,11,4250,5/25/1968
45,15,4550,5/25/1968
50,4,6750,5/25/1968
72,3,3000,5/25/1968
76,6,4800,5/25/1968
38,13,17100,5/25/1968
27,28,6000,5/25/1968
43,34,7100,5/25/1968
11,27,2400,5/25/1968
45,32,5900,5/25/1968
6,3,7600,5/25/1968
45,2,4000,5/25/1968
6,48,7000,5/25/1968
1,41,-,5/25/1968
30,16,5500,5/25/1968
34,4,4000,5/25/1968
71,22,675,5/25/1968
48,27,3000,5/25/1968
48,2,6500,5/25/1968
62,2,10000,5/25/1968
6,43,5000,5/25/1968
5,11,5000,5/25/1968
3,13,7200,5/25/1968
15,13,4000,5/25/1968
37,6,6800,5/25/1968
11,33,2400,5/25/1968
1,25,3500,5/25/1968
53,10,250,5/25/1968
5,2,7200,5/25/1968
50,18,450,5/25/1968
45,21,6300,3/14/1969
40,17,6250,3/14/1969
43,35,7000,3/14/1969
46,7,3800,3/14/1969
29,3,5850,3/14/1969
4,4,7750,3/14/1969
49,6,3500,3/14/1969
53,4,8300,3/14/1969
48,25,11400,3/14/1969
27,19,150,3/14/1969
50,15,400,3/14/1969
44,10,4500,3/14/1969
17,27,3500,3/14/1969
50,8,7500,3/14/1969
1,28,1100,3/14/1969
3,20,5000,3/14/1969
1,11,8000,3/14/1969
55,30,8000,6/25/1968
43,4,10000,6/25/1968
5,20,4500,6/25/1968
1,43,1575,6/25/1968
50,10,5000,6/25/1968
3,25,3000,6/25/1968
59,1,7500,6/25/1968
72,9,23000,6/25/1968
